순번,사업구분,항공사,등록기호,형식,제작번호,제작일자,기령(년),등록일자,좌석,최대이륙중량,정치장,도입형태,ICAO,IATA
8,자가용,학교법인 함주학원,HL1084,C-172S,172S10767,08.07.11,18,08.10.15,4,1.157ton,한서대학교 태안비행장,구매,C172,CN1
9,자가용,학교법인 함주학원,HL1085,C-172S,172S10769,08.07.14,18,08.10.15,4,1157kg,한서대학교 태안비행장,구매,C172,CN1
10,자가용,학교법인 함주학원,HL1109,C-172S,172S10775,08.07.14,18,08.10.15,4,1.157ton,한서대학교 태안비행장,구매,C172,CN1
11,자가용,학교법인 함주학원,HL8283,C525,525-0688,09.05.20,17,09.07.30,8,10700lbs,한서대학교 태안비행장,구매,C525,
12,자가용,학교법인 함주학원,HL9488,BELL412SP,33199,89.08.28,37,10.05.26,13,5.398ton,한서대학교 태안비행장,구매,B412,
13,자가용,학교법인 함주학원,HL1125,C-172S,172S10689,08.03.06,18,10.06.09,4,2550lbs,한서대학교 태안비행장,구매,C172,CN1
14,자가용,학교법인 함주학원,HL1128,C-172S,172S10513,07.05.16,19,10.06.09,4,2550lbs,한서대학교 태안비행장,구매,C172,CN1
15,자가용,학교법인 함주학원,HL1124,C-172S,172S10687,08.03.06,18,10.06.30,4,2550lbs,한서대학교 태안비행장,구매,C172,CN1
16,자가용,학교법인 함주학원,HL1126,C-172S,172S10520,07.05.24,19,10.06.30,4,2550lbs,한서대학교 태안비행장,구매,C172,CN1
17,자가용,학교법인 함주학원,HL2031,PA44-180,4496275,10.01.15,16,10.07.07,4,3800lbs,한서대학교 태안비행장,구매,PA44,
18,자가용,학교법인 함주학원,HL2032,PA44-180,4496276,10.01.12,16,10.07.07,4,3800lbs,한서대학교 태안비행장,구매,PA44,
19,자가용,학교법인 함주학원,HL5238,BEECH 1900D,UE-222,96.06.25,30,10.07.13,18,7.7ton,한서대학교 태안비행장,구매,B190,BEC
20,자가용,학교법인 함주학원,HL1142,C-172S,172S10732,08.03.08,18,11.03.22,4,2550lbs,한서대학교 태안비행장,구매,C172,CN1
21,자가용,학교법인 함주학원,HL1143,C-172S,172S10731,08.03.08,18,11.03.22,4,2550lbs,한서대학교 태안비행장,구매,C172,CN1
22,자가용,학교법인 함주학원,HL1152,C-172S,172S11141,11.11.14,14,12.02.15,4,1157kg,한서대학교 태안비행장,구매,C172,CN1
23,자가용,학교법인 함주학원,HL1159,EA 300/LT,LT016,12.05.21,14,12.10.04,2,950kg,한서대학교 태안비행장,구매,E300,
24,자가용,학교법인 함주학원,HL0306,ASK 21,21899,12.12.19,13,13.05.06,2,600kg,한서대학교 태안비행장,구매,AS21,
25,자가용,학교법인 함주학원,HL1169,C-172S,172S10609,07.10.18,18,13.10.25,4,1157kg,한서대학교 태안비행장,구매,C172,CN1
26,자가용,학교법인 함주학원,HL1170,C-172S,172S10652,07.12.13,18,13.10.25,4,1157kg,한서대학교 태안비행장,구매,C172,CN1
27,자가용,학교법인 함주학원,HL1186,C-172S,172S11235,13.02.20,13,14.01.21,4,1156kg,한서대학교 태안비행장,구매,C172,CN1
28,자가용,학교법인 함주학원,HL1198,C-172S,172S11427,14.05.20,12,14.07.23,4,1157kg,한서대학교 태안비행장,구매,C172,CN1
29,자가용,학교법인 함주학원,HL1268,C-172S,172S12125,18.05.10,8,18.11.13,4,1157kg,한서대학교 태안비행장,구매,C172,CN1
30,자가용,학교법인 함주학원,HL1269,C-172S,172S12132,18.05.10,8,18.11.13,4,1157kg,충남태안 비행장,구매,C172,CN1
31,자가용,학교법인 함주학원,HL1270,C-172S,172S12138,18.05.10,8,18.11.13,4,1157kg,한서대학교 태안비행장,구매,C172,CN1
32,자가용,학교법인 함주학원,HL1271,C-172S,172S12142,18.05.10,8,18.11.13,4,1157kg,한서대학교 태안비행장,구매,C172,CN1
33,자가용,학교법인 함주학원,HL1272,C-172S,172S12150,18.05.10,8,18.11.13,4,1157kg,한서대학교 태안비행장,구매,C172,CN1
34,자가용,학교법인 함주학원,HL6148,R22 BETA,4857,21.10.11,4,21.12.20,2,622kg,한서대학교 태안비행장,구매,R22,
35,자가용,학교법인 함주학원,HL6150,R22 BETA,4922,25.08.11,1,25.11.03,2,622kg,한서대학교 태안비행장,구매,R22,
36,자가용,학교법인 함주학원,HL2050,PA-44-180,4496629,26.02.23,0,26.08.05,,,한서대학교 태안비행장,구매,PA44,
1,항공기사용사업,한국공항공사,HL8219,C-525,525-0940,17.03.03,9,17.03.21,5,4853kg,울진비행장,구매,C525,
1,자가용,한국교통대학교,HL1195,SR20,2245,14.02.11,12,14.03.28,4,1361kg,무안공항,구매,SR20,
2,자가용,한국교통대학교,HL1207,SR20,2265,14.06.30,12,14.09.03,4,1361kg,무안공항,구매,SR20,
3,자가용,한국교통대학교,HL1208,SR20,2266,14.06.30,12,14.09.03,4,1361kg,무안공항,구매,SR20,
4,자가용,한국교통대학교,HL1209,SR20,2267,14.06.30,12,14.09.03,4,1361kg,무안공항,구매,SR20,
5,자가용,한국교통대학교,HL1284,SR20,2510,19.08.23,7,19.12.18,4,1429kg,무안공항,구매,SR20,
6,자가용,한국교통대학교,HL1298,SR20,9260,23.05.26,3,23.08.25,4,1429kg,무안공항,구매,SR20,
1,자가용,한국방송공사,HL9278,BELL430,49111,05.08.01,21,06.07.06,8,4218kg,김포공항,구매,B430,
1,자가용,한국소아링협회,HL0305,K-8B,8636,66.10.06,59,02.06.27,2,0.31ton,수색비행장,구매,K8,
1,항공기사용사업,한국에스지티,HL5119,C-208B,208B1178,06.03.03,20,09.12.15,11,4.127ton,김포공항,구매,C208,CN1
1,항공기사용사업,한국항공,HL1138,C-172S,172S8979,01.11.14,24,10.12.29,4,2550lbs,청주국제공항,구매,C172,CN1
2,항공기사용사업,한국항공,HL1155,C-172S,172S9740,04.12.07,21,12.01.06,4,2550lbs,청주국제공항,구매,C172,CN1
3,항공기사용사업,한국항공,HL1182,C-172R,17280224,97.11.06,28,13.10.11,4,2457lbs,청주국제공항,구매,C172,CN1
1,자가용,한국항공대학교,HL0304,L23,008715,00.08.29,26,00.10.24,2,510kg,수색비행장,구매,L23,
2,자가용,한국항공대학교,HL1086,C-172R,17280996,01.02.16,25,01.04.23,4,1.111ton,수색비행장,구매,C172,CN1
3,자가용,한국항공대학교,HL1087,C-172R,17280998,01.02.16,25,01.04.23,4,1.111ton,수색비행장,구매,C172,CN1
4,자가용,한국항공대학교,HL1131,C-172S,172S10967,10.06.30,16,10.07.27,4,1156kg,수색비행장,구매,C172,CN1
5,자가용,한국항공대학교,HL1132,C-172S,172S10968,10.06.30,16,10.07.27,4,1156kg,수색비행장,구매,C172,CN1
6,자가용,한국항공대학교,HL1133,C-172S,172S10969,10.06.30,16,10.07.27,4,1156kg,수색비행장,구매,C172,CN1
7,자가용,한국항공대학교,HL1134,C-172S,172S10976,10.07.12,16,10.08.06,4,1156kg,수색비행장,구매,C172,CN1
8,자가용,한국항공대학교,HL1135,C-172S,172S10978,10.07.12,16,10.08.06,4,1156kg,수색비행장,구매,C172,CN1
9,자가용,한국항공대학교,HL1136,C-172S,172S10980,10.07.12,16,10.08.06,4,1156kg,수색비행장,구매,C172,CN1
10,자가용,한국항공대학교,HL2035,DA 42 NG,42.N014,11.01.12,15,11.03.16,4,1900kg,수색비행장,구매,DA42,
11,자가용,한국항공대학교,HL1171,C-172S,172S11237,12.09.26,13,12.11.15,4,1156kg,수색비행장,구매,C172,CN1
12,자가용,한국항공대학교,HL1173,C-172S,172S11316,13.06.25,13,13.08.12,4,2550lbs,수색비행장,구매,C172,CN1
13,자가용,한국항공대학교,HL1175,C-172S,172S11318,13.06.25,13,13.08.12,4,2550lbs,수색비행장,구매,C172,CN1
14,자가용,한국항공대학교,HL1221,C-172S,172S11533,15.02.10,11,15.04.08,4,2550lbs,수색비행장,구매,C172,CN1
15,자가용,한국항공대학교,HL1222,C-172S,172S11534,15.02.19,11,15.04.08,4,2550lbs,수색비행장,구매,C172,CN1
16,자가용,한국항공대학교,HL1223,C-172S,172S11535,15.02.24,11,15.04.08,4,2550lbs,수색비행장,구매,C172,CN1
17,자가용,한국항공대학교,HL1224,C-172S,172S11536,15.02.23,11,15.04.08,4,2550lbs,수색비행장,구매,C172,CN1
18,자가용,한국항공대학교,HL1081,C-172R,17280511,98.12.07,27,99.03.12,4,1.111ton,수색비행장,구매,C172,CN1
19,자가용,한국항공대학교,HL1082,C-172R,17280541,98.12.03,27,99.03.12,4,1.111ton,수색비행장,구매,C172,CN1
1,자가용,한국항공우주산업,HL1200,KC-100,13-001,13.12.04,12,13.12.10,4,1633kg,사천공항,구매,KC10,
2,자가용,한국항공우주산업,HL9648,EC-155B1,6825,08.12.10,17,18.09.18,6,4920kg,한국항공우주산업,구매,EC55,
1,항공기사용사업,한국항공촬영(주),HL8373,C-550,550-0021,78.03.24,48,19.08.14,7,6033kg,김포공항,구매,C550,CNJ
1,항공기사용사업,한라스카이에어,HL2004,P68C TC,322-27-TC,84.09.30,41,07.08.24,6,2.084ton,김포공항,구매,P68,PN6
1,자가용,한서대학교산학협력단,HL9169,480B,5081,05.09.14,20,05.11.07,4,3000lbs,한서대학교 태안비행장,구매,E480,
2,항공기사용사업,한서대학교산학협력단,HL5200,C90GT,LJ1801,06.12.11,19,06.12.22,8,4.581kg,한서대학교 태안비행장,구매,C90GT,
1,항공기사용사업,한양항공,HL1070,MXT-7,14038-C,91.10.08,34,92.04.27,4,1.136ton,전북 남원요천비행장,구매,MX7,
1,자가용,한화솔루션,HL7227,B737-700,35977,06.09.15,19,10.09.30,19,77.564ton,김포공항,구매,B737,73G
1,항공기사용사업,헬리월드,HL9479,MI-2,5411037119,89.11.24,36,08.12.24,9,3.550ton,김포산업단지,구매,MI2,
1,항공기사용사업,헬리코리아,HL9154,BELL214B-1,28008,80.03.20,46,02.10.31,16,16000lbs,대전 헬리코리아 헬기장,구매,B214,
2,항공기사용사업,헬리코리아,HL9159,BELL214B-1,28037,80.09.20,45,03.02.05,16,16000lbs,대전 헬리코리아 헬기장,구매,B214,
3,항공기사용사업,헬리코리아,HL9160,BELL214B-1,28070,82.01.27,44,03.04.09,16,5.727ton,대전 헬리코리아 헬기장,구매,B214,
4,항공기사용사업,헬리코리아,HL9270,S-76C+,760528,02.10.31,23,03.06.05,10,5.307ton,헬리코리아 헬기장,구매,S76,S76
5,항공기사용사업,헬리코리아,HL9289,KA-32A,6004/007,89.04.29,37,06.01.03,15,11ton,대전 헬리코리아 헬기장,구매,KA27,
6,항공기사용사업,헬리코리아,HL9475,KA-32A,61-02/016,08.10.01,17,08.10.01,16,11ton,대전 헬리코리아 헬기장,구매,KA27,
7,항공기사용사업,헬리코리아,HL9489,S-76C+,760521,01.08.01,25,10.06.24,16,5.307ton,대전 헬리코리아 헬기장,구매,S76,S76
8,항공기사용사업,헬리코리아,HL9191,B407,53986,10.01.30,16,10.11.19,7,2722kg,대전 헬리코리아 헬기장,구매,B407,
9,항공기사용사업,헬리코리아,HL9197,B407,53082,96.11.30,29,11.11.21,7,2267kg,대전 헬리코리아 헬기장,구매,B407,
10,항공기사용사업,헬리코리아,HL9200,BK117C-1,1129,00.12.04,25,12.06.07,8,3350kg,대전 헬리코리아 헬기장,구매,BK17,
11,항공기사용사업,헬리코리아,HL9628,AW169,69041,16.10.25,9,16.11.21,10,4600kg,대전 헬리코리아 헬기장,구매,A169,
12,항공기사용사업,헬리코리아,HL9627,AW169,69032,16.10.21,9,16.11.28,10,4600kg,헬리코리아 헬기장,구매,A169,
13,항공기사용사업,헬리코리아,HL9631,AW169,69051,16.12.15,9,16.12.26,10,4600kg,대전 헬리코리아 헬기장,임차,A169,
14,항공기사용사업,헬리코리아,HL9643,AW109SP,22377,17.10.26,8,17.11.21,8,3175kg,대전 헬리코리아 헬기장,구매,A109,
15,항공기사용사업,헬리코리아,HL9644,AW109SP,22379,17.11.30,8,17.12.08,8,3175kg,헬리코리아 헬기장,구매,A109,
16,항공기사용사업,헬리코리아,HL9672,KA-32A,9102/015,93.03.31,33,21.04.06,15,11000kg,대전 헬리코리아 헬기장,구매,KA27,
17,항공기사용사업,헬리코리아,HL9401,KA-32A11BC,52332405028902/017,92.09.08,33,23.02.06,15,11000kg,헬리코리아 헬기장,구매,KA32,
1,자가용,현대자동차,HL8290,B737-700,41375,13.01.30,13,14.07.16,17,77.564ton,김포공항,구매,B737,73G
2,자가용,현대자동차,HL9673,S-76D,761082,20.03.24,6,23.09.01,8,5386kg,김포공항,구매,S76,S76
3,자가용,현대자동차,HL8550,GVI,6545,23.06.18,3,23.11.15,12,103600lbs,김포공항,구매,G650,
1,항공기사용사업,홍익항공,HL9158,BELL214B-1,28046,80.05.20,46,03.02.05,18,5.67ton,김포공항,구매,B214,
2,항공기사용사업,홍익항공,HL9166,AS-350B2,3029,98.02.05,28,04.12.28,6,2250kg,김포공항,구매,AS50,
3,항공기사용사업,홍익항공,HL9174,AS-350B2,2689,92.11.27,33,06.04.19,6,2250kg,김포공항,구매,AS50,
4,항공기사용사업,홍익항공,HL9185,AS-350B2,2895,95.10.29,30,07.12.05,6,2.25ton,김포공항,구매,AS50,
5,항공기사용사업,홍익항공,HL9458,BK117B-2,1119,98.08.26,28,07.12.05,10,3.35ton,김포공항,구매,BK17,
6,항공기사용사업,홍익항공,HL9199,AS-350B2,2332,90.04.26,36,12.02.24,6,2250kg,김포공항,구매,AS50,
7,항공기사용사업,홍익항공,HL9302,AS-350B2,2674,92.09.11,33,13.02.18,6,2250kg,김포공항,구매,AS50,
8,항공기사용사업,홍익항공,HL9307,AS-350B2,3880,04.11.12,21,23.02.23,6,4960lbs,김포공항,구매,AS50,
9,항공기사용사업,홍익항공,HL9315,AS-350B2,4432,08.05.31,18,23.10.27,6,2250kg,김포공항,구매,AS50,
10,항공기사용사업,홍익항공,HL9316,AS-350B2,7622,13.03.10,13,23.10.27,6,2250kg,김포공항,구매,AS50,
11,항공기사용사업,홍익항공,HL9318,AS-350B2,3547,02.04.05,24,24.02.06,6,2250kg,김포공항,구매,AS50,
12,항공기사용사업,홍익항공,HL9320,AS-350B2,3877,04.11.05,21,24.09.13,6,2250kg,김포공항,구매,AS50,
13,항공기사용사업,홍익항공,HL9328,AS-350B2,7348,12.02.20,14,26.04.28,6,2250kg,김포공항,구매,AS50,
14,항공기사용사업,홍익항공,HL9116,BELL214B-1,28058,81.04.21,45,94.03.29,18,5.67ton,김포공항,구매,B214,
